# Kind	Namespace	Name	Path	Justification
struct	ShelteredAPI.Map	ExpeditionMapGridPosition	ShelteredAPI/Map/ExpeditionMapContext.cs	Detached grid coordinate DTO for expedition map context queries.
struct	ShelteredAPI.Map	ExpeditionMapWorldPosition	ShelteredAPI/Map/ExpeditionMapContext.cs	Detached world coordinate DTO for expedition map context queries.
struct	ShelteredAPI.Map	ExpeditionMapPixelPosition	ShelteredAPI/Map/MapMarkerSnapshots.cs	Detached pixel coordinate DTO for expedition map marker projections.
class	ShelteredAPI.Actors	ShelteredActors	ShelteredAPI/Actors/ActorSystem.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Adapters	GameHelperExtensions	ShelteredAPI/Adapters/GameHelperExtensions.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Characters	PartyChangedEventArgs	ShelteredAPI/Characters/PartyHelper.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Characters	ShelteredCharacters	ShelteredAPI/Characters/ShelteredCharacters.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Map	ExpeditionActorSnapshot	ShelteredAPI/Map/MapMarkerSnapshots.cs	Public detached expedition-party projection with actor identities for map integrations.
class	ShelteredAPI.Map	ExpeditionRouteSnapshot	ShelteredAPI/Map/MapMarkerSnapshots.cs	Public detached route DTO for marker and expedition snapshot APIs.
class	ShelteredAPI.Map	MapMarkerSnapshot	ShelteredAPI/Map/MapMarkerSnapshots.cs	Public detached marker DTO for vanilla projections and mod-owned marker registration.
class	ShelteredAPI.Map	ShelteredMapMarkers	ShelteredAPI/Map/ShelteredMapMarkers.cs	Public facade for marker registration and read-only expedition marker projections.
class	ShelteredAPI.Characters.Models	AttributeModifier	ShelteredAPI/Characters/Models/AttributeModifier.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Characters.Models	CharacterQuery	ShelteredAPI/Characters/Models/CharacterQuery.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Characters.Models	EffectInstance	ShelteredAPI/Characters/Models/EffectInstance.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	AdvancedAssets	ShelteredAPI/Content/ShelteredContent.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	AssetPath	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ContentOperationResult	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	CookingRecipe	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	GameToggles	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	InventoryMutationResult	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ItemDefinition	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ItemDefinitionSnapshot	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ItemPatch	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ItemTemplates	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	LootEntry	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RecipeDefinition	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RecipeDefinitionSnapshot	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RecipeIngredient	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RecipeIngredientSnapshot	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RecipePatch	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	RegistrationResult	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	Runtime	ShelteredAPI/Content/ShelteredContent.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	ShelteredContent	ShelteredAPI/Content/ShelteredContent.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Content	VanillaItems	ShelteredAPI/Content/ContentRegistry.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Core	ShelteredApiAliasIds	ShelteredAPI/Core/ShelteredApiIds.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Core	ShelteredApiServices	ShelteredAPI/Core/ShelteredApiIds.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Core	ShelteredModManagerBase	ShelteredAPI/Core/ShelteredModManagerBase.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Debugging	DebugValueTakeover	ShelteredAPI/Debugging/DebugValueTakeover.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Debugging	DebugValueTakeoverSession	ShelteredAPI/Debugging/DebugValueTakeover.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Debugging	ShelteredSupportBundle	ShelteredAPI/Debugging/ShelteredSupportBundle.cs	Public support-bundle facade exposing concrete diagnostic snapshots without requiring optional services.
class	ShelteredAPI.Debugging	SupportBundleRequest	ShelteredAPI/Debugging/ShelteredSupportBundle.cs	Public request DTO selecting an optional save manifest and log limit for support capture.
class	ShelteredAPI.Debugging	SupportBundleSection	ShelteredAPI/Debugging/ShelteredSupportBundle.cs	Public diagnostics-section DTO representing available, unknown, or unavailable support facts.
class	ShelteredAPI.Debugging	SupportBundleSnapshot	ShelteredAPI/Debugging/ShelteredSupportBundle.cs	Public support report DTO containing concrete runtime, save, mod, and log facts.
class	ShelteredAPI.Events	ShelteredEvents	ShelteredAPI/Events/ShelteredEvents.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Events	TimeTriggerBatch	ShelteredAPI/Events/GameTimeTriggerHelper.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Events	TimeTriggerInfo	ShelteredAPI/Events/GameTimeTriggerHelper.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.GameState	ShelteredGameState	ShelteredAPI/GameState/ManagerStateHelper.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Harmony	ShelteredPatterns	ShelteredAPI/Harmony/ShelteredPatterns.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Input	ShelteredInput	ShelteredAPI/Input/ShelteredInput.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Input	ShelteredInputActions	ShelteredAPI/Input/ShelteredInputActions.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Interactions	ObjectButtonBuilder	ShelteredAPI/Interactions/ObjectButtonInjector.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Interactions	ObjectButtonInjector	ShelteredAPI/Interactions/ObjectButtonInjector.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Interactions	ObjectButtonInsertContext	ShelteredAPI/Interactions/ObjectButtonInjector.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Interactions	ObjectButtonTargetBuilder	ShelteredAPI/Interactions/ObjectButtonInjector.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Persistence	ShelteredPersistence	ShelteredAPI/Persistence/ModPersistence.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Persistence	ShelteredPersistentDictionary	ShelteredAPI/Persistence/ModDictionary.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Persistence	ShelteredPersistentList	ShelteredAPI/Persistence/ModList.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Queues	PlayerQueueChangedEventArgs	ShelteredAPI/Queues/PlayerQueueContracts.cs	Detached queue-change notification DTO intentionally exposed through ShelteredQueues.
class	ShelteredAPI.Queues	PlayerQueueEntry	ShelteredAPI/Queues/PlayerQueueContracts.cs	Detached queue entry metadata DTO that does not expose live Sheltered jobs.
class	ShelteredAPI.Queues	PlayerQueueOwnerIdentity	ShelteredAPI/Queues/PlayerQueueContracts.cs	Copied actor/member identity DTO for queue queries and snapshots.
class	ShelteredAPI.Queues	PlayerQueuePosition	ShelteredAPI/Queues/PlayerQueueContracts.cs	Copied queued-target position DTO for player queue snapshots.
class	ShelteredAPI.Queues	PlayerQueueRestoreResult	ShelteredAPI/Queues/PlayerQueueContracts.cs	Result DTO for conservative queue restoration through ShelteredQueues.
class	ShelteredAPI.Queues	PlayerQueueSnapshot	ShelteredAPI/Queues/PlayerQueueContracts.cs	Read-only player queue snapshot DTO intentionally exposed through ShelteredQueues.
class	ShelteredAPI.Queues	ShelteredQueues	ShelteredAPI/Queues/ShelteredQueues.cs	Public Sheltered-facing facade for queue query, snapshot, restore, and change notification.
class	ShelteredAPI.Saves	CustomMeta	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	LoadedModInfo	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	LoadOptions	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SaveCreateOptions	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SaveEntry	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SaveInfo	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SaveManifest	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SaveOverwriteOptions	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	ScenarioDescriptor	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	ShelteredSaveEvents	ShelteredAPI/Saves/ShelteredSaveEvents.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	ShelteredSaves	ShelteredAPI/Saves/ShelteredSaves.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SlotManifest	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SlotReservation	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	SlotReservationMap	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves	StartOptions	ShelteredAPI/Saves/Models.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves.Paging	ModCompareEntry	ShelteredAPI/Saves/Paging/SaveVerification.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Saves.Paging	VerificationWindowOptions	ShelteredAPI/Saves/Paging/SaveDetailsWindow.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	AssetReferencesDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	BunkerEditsDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ConditionDef	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	DialogueChain	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	FamilyMemberAppearanceConfig	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	FamilyMemberConfig	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	FamilySetupDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	FutureSurvivorDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	IconRef	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ItemEntry	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ObjectPlacement	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	QuestAuthoringDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	QuestDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	RoomEdit	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioDialogueLineDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioDialogueOptionDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioEncounterEndOptionsDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioFloatingQuestTriggerDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioFlowDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioFlowStageDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioIntercomStageDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioMilestoneCheckDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioMilestoneDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioModeAvailabilityDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioNpcDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioNpcStatsDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioPlacementDefinitions	ShelteredAPI/Scenarios/Definitions/ScenarioPlacementDefinitions.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioProperty	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoreCategoryDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoreCategorySnapshot	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoreRuleDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoreRuleSnapshot	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoreSnapshot	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioScoringDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public custom-scenario scoring DTO intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioSelectionRulesDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioSpawnTriggerDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioStageChangeDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioSubquestCheckDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	ScenarioVector3	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	SceneSpritePlacement	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	SkillOverride	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	SpriteRef	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	SpriteSwapRule	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	StartingInventoryDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	StatOverride	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	TimedInventoryChangeDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	TriggerDef	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	TriggersAndEventsDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	WeatherEventDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
class	ShelteredAPI.Scenarios.Definitions	WinLossConditionsDefinition	ShelteredAPI/Scenarios/Definitions/ScenarioDefinition.cs	Public ShelteredAPI facade, service contract, DTO, or compatibility type intentionally exposed to mods.
